,Comment,Sentiment
536,"I got mine yesterday and as Samsung stated, ""Ultra"" is the best of the best and the S23 Ultra delivers. The device is so responsive that its unbelievable. My Note 20 Ultra wasnt this fast at all.",Positive
537,Can I buy it with my HDFC credit card on Samsung official website with emi ?,Neutral
538,The best SAMSUNG ELECTRÓNICS USA,Positive
539,This is crazyy,Negative
540,bro this ad is so tacky 😭,Negative
541,What a cheap ad!,Negative
542,Does the ultra have anything like the apple fitness app. i use the cycling every day on apple but would like to switch to android,Neutral
543,"i have already ordered s23u in graphite colour, can't wait to get my hands on❤️😍",Positive
544,"Sadly still chip iPhone 14 better than Samsung Galaxy S23+ I'll really hope next time before 2030 Samsung do better achievement than iPhone 14 on create chip phone,  overall Samsung still my favourite phone ❤️📱❤️‍🩹",Positive
545,Name of the Girl ? Anyone Knows ??,Neutral
546,Awesome can't wait,Positive
547,"Why Samsung don’t want to change design language???
Do they wanna be next Blackberry??",Neutral
548,quick share= airdrop... late in the game but still they had a chance to look from someone hah,Neutral
549,"All Humans Refuse to work in Samsung Ad, expect these 3 guys",Negative
550,Best device for best of people's,Positive
551,Me watching this on my Galaxy s22 ultra😁😆😝,Positive
552,"Samsung use to tell this time ""what is new"".
The product fails to create newness on its own.",Negative
553,AWESOME. I already bought two phones . So good,Positive
554,Where is the brighter display like iphone 14 pro? Its only 1750 nits.😢,Neutral
555,this commercial is severely screaming 2012,Negative
556,What's new really 😂😂,Neutral
557,Waste of money😂,Negative
558,Sure hope you fixed the battery issue,Neutral
559,"If they just make the software on par with how friendly ios’ software is, id get it",Positive
560,"Im samsung member since note 2 until fold and  s 20 ultra..
think i change to xiaomi and sell almost all my samsunb gadget
1.  want weight weight like samsung s23 no more than 175g ( because heavy make finger easy tired)
2. But battery must 4300 up
3. Fast changer must 45

I can not find in any s series of samsung
Compare go xiaomi 13
 (pro is heavy too that why i dont want)
Light weight
Fast charger 67
And battery 4500

Even is samsung s 24 next have camera like ultra the price more than 18500 usd i will buy..
But must light weight..
 fast charging 45
And battery 4300 up

Hope samsung one day havr speck like that
Tq",Neutral
561,"iphon ,💩💩💩💩💩💩💩",Negative
562,"iphon ,💩💩💩💩💩💩💩",Negative
563,Im upgrading mine i have a note 9 so excited to get the S23ultra,Positive
564,Good promo with inadequate resolution. Who limits video to just 1080p this days!!!,Positive
565,1:56 Can you send me that ?   Becomes legendary,Neutral
566,watching this video on the same device❤️ wow,Positive
567,Is it even comfortable to hold? The corners are so sharp!,Positive
568,"Apple is a scam !!
No freedom and they sell low specs phones for double price. Always been a Samsung fan and will be.",Negative
569,2:33 @ThatWasEpic11,Neutral
570,Please add the external memory card...,Neutral
571,"Very nice trailer, well done Samsung! Still sticking to my note 9 that still going solid for God knows how long 😂",Positive
572,"The gray mass pays for ecology, while large corporations do not",Neutral
573,Okay this is cool,Positive
574,I would hate to drop this phone on the floor,Negative
575,Love this commercial,Positive
576,Thank you  SAMSUNG for being consumer oriented. You listen to us a lot that's why you deliver the best:),Positive
577,"No matter how expensive is your galaxy, whatsapp and instagram status update for videos ALWAYS look blur, WHY SAMSUNG? CAN'T YOU MAKE WHATSAPP SPECIALLY FOR SAMSUNG S SERIES??? 
Apple whatsapp and instagram status update are sharp and never blur.
I love Samsung but this is the only flaw you have, HEAR ME AND FIX IT",Negative
578,I didnt care about s23... until I saw an ad with Changbin <3,Negative
579,Grateful with my samsung A 32,Positive
580,Where is Changbin?  thanks to him. buy a galaxy 👌,Positive
581,Very nice samsung,Positive
582,One of the best commercials I have ever seen,Positive
583,camera placement looks horrible. I am sticking with iPhone. Lost respect after I bought galaxy note2. side coating  peeled off,Negative
584,"lol every picture shown has a disclaimer ""illustrated purposes only"". so its not even the actual photo,",Neutral
585,A camera with a little bit of phone in it,Neutral
586,"I wish Samsung launched a  5.4"" screen sized phone cause sometimes heavy and large phones are just burden",Neutral
587,Please arrange price at 150 rs,Neutral
588,The most boring ad ever,Negative
589,same phone as 21 ultra with stylus - s22 ultra owner,Neutral
590,What’s new: The Name 🤦🏻‍♂️,Negative
591,The trade-in value was horrible for the s22 ultra so I'll just wait m I do like the upgrade it features like the better camera and allegedly longer battery life. Not to mention the less curves are appealing. And I make commission from the sales of these from SAMSUNG.😁,Positive
592,Worst commercial ever. If I would watch it before buying phone I would never buy :D,Negative
593,What are you guys doing with your billions?,Neutral
594,"I bought it, it comes without a recharger. Really?? For this price you couldn't include a recharger? And you had to make it out of the standard? This would've been a deal breaker for me had I known.",Negative
595,"Samsung is just thriving because south Korea is USA colony. It's a shame that a big entity like Samsung doesn't have its own operating system so that apps can be optimised and most of things optimised...

Also you should keep working on your own processor exynos not getting excited about Snapdragon.

We need alternatives to choose from which will make competition better.


What will happen if south Korea becomes an independent country and not USA vasal state then Samsung get banned from using Google services?

Top phone brands should have their own operating system!!!",Negative
596,"2010 : hey, my phone has a camera
2023: my camera has a phone",Neutral
597,"So, I can travel to an another planet, through the S23?",Neutral
598,"It's strange to watch a video that shows a phone under sea water)
3 days ago, my S21 ultra could not stand 2 minutes under water, and the water flowed inside and the phone became unusable, and people are swimming nearby with iPhones and they are doing well with the same degree of protection as the Samsung
Samsung support said that you can't use your phone in sea water
What about this model, still can not be used with water?",Negative
599,"1/ The keypad, recents and contacts icons should be in the Samsung phone app. 2/ The dark mode in Samsung smartphones should be on by default. 3/ S pen should be with a lightweight phone. 4/ YouTube app should not be inbuilt. 5/ Remove the Galaxy Store and replace it with System App Updater like Xiaomi.",Neutral
600,"Waiting to switch over the day they change that ugly android interface. I can’t stand how it looks. The clunky transitions, crappy emojis, how unintuitive the layout is. 🤦‍♀️",Negative
601,"this comercial makes me want to buy it right now, i loved everything about it and i loved the phone as well.",Positive
602,I like the presetation 😍,Positive
603,Samsung phones are the best,Positive
604,Just pre-booked in India. Should be getting delivered by 20 Feb. So long waiting to buy a S23,Neutral
605,Who is the actress they used ??,Neutral
606,my sad story  1pone 4year that is very bad  condition my and my father have samsung m13 pone my father fan samsung brand but i have no pone i will say  my father buy one  pone for me my father say naver i not have money at my father is military retirment at but samsung is brand samsung is dad for all  pone company i wish i have samsung s23 ultra i wish i have samsung brand no ipone brand only samsung  😇😇💬💬💬😞😞😞😞 because i am very sad,Negative
607,Which colour is this.. Graphite..??,Neutral
608,I'm selling my Note 20 Ultra and getting me one of these 😁😁,Positive
609,s21 ultra was fked up by rain ..now i gonna buy 2023 ultra,Negative
610,Where's the 65 watt charging? Oppo has had these for years,Neutral
611,"Watchin from my ol' pal, Note 20 Ultra. Haven't upgraded since then, coz I'm a bit worried about the Samsung GOS (Game Optimizing Service) thing, which hold back the epic performance. Sh..",Negative
612,Waiting for Iphone 15,Neutral
613,0:49 only og know this game subnautica !!,Neutral
614,Alright this was an awesome video,Positive
615,Is she Jenna Ortega from nexflix Wednesday ?,Neutral
616,"This is just a fever dream, used to convince materialistic people to buy things that they don't need.",Negative
617,"Thank God at last Someone is doing best to compete with iPhone 
I hope Samsung makes more incredible smartphones in best price segment",Positive
618,When you are high and they ask you to write a script for an Ad!,Neutral
619,still use exynos in my?,Neutral
620,I'm getting one at the end of the year,Neutral
621,"I have  a21s  it was  very  good  performance  
Thank  you  samsung   company. 😘",Positive
622,"I feel like am untop of the world. Mt Samsung, my super power",Positive
623,"The most horrible costumer service. Bought the S23 ultra, unit arrived with a problem (okay that can happen) but after complaining immediately to Samsung, one week later still no updates, no phone, no money and they only say its the process... Not recommended at all, it's beyond bad... ATTENTION all costumers my unit came with water inside it in the form of humidity that showed up soon the phone heated up by transferring files!",Negative
624,"Samsung galaxy started with: S III mini to S23 no Good. you know why, It often overheats",Negative
625,Dream but I am not afford it I am poor,Negative
626,So s23 is camera with spen? Noice,Neutral
627,"Finally after my note 9 did its best, i found a reasonable device to upgrade to.",Positive
628,"I have been using samsung phones since the beginning of galaxy, but I always wanted better color options and wanted the gold color like the iPhone 14 pro, I'm actually considering switching to iPhone just for that reason😏",Positive
629,"I absolutely loathe commercials, this one wasn't bad at all. Way to go Samsung...",Negative
630,Is she the one from White Lotus Season 2? 🧐,Neutral
631,It's kinda cringe though,Negative
632,Send me luck to get this s23 ultra 🤤,Positive
633,"Samsung 
Pay more 
Get Less",Neutral
634,Is there still thw camera shutter lag?,Neutral
635,wats the new buy the way?,Neutral
636,"The most CHEESY gadget video ad.... Poor CGI, bad transitions, bad bad bad...",Negative
637,Mine is on its way i already have otter box sitting at home waiting it wont be out till 17th dang it i want that external battery too but havent invented yet so hurry up samsung so i csn order that too that extra battery  life is a must but ive seen videos that this ultra lasts days but i want massive battery i have that external for my galaxy note 5 and it saves me so much time in having to worry about charging,Positive
638,The battery life upgrade it's what I was waiting to move back to Android,Positive
639,"Dead voice company
Edit YES OMG THANKS SO MUCH EVER FOR THAT LIKES
No. 101 Jan 19 2026 I said all the Samsungs in gym 2 and the Volcano
Edit YES THANSK EVER KIKES",Positive
640,What's happening All brands Highly Prices increase i don't buy any basic   phone 🤔 50k + in Pakistan  2year Older phone A12 55 thousend in Pakistan markets please The Brands please Poor peoples 😢 🙏 😞,Negative
641,Ultra s22 (a lemon) user here.  Ultra s23 is probably another lemon!,Neutral
642,"Samsung please keep the offer of 
Watch LTE+ Samsung s23 ultra + Buds at ₹1,30,000 in June because HSC result will be out during these days 
So that students can avail this amazing outstanding fantastic offer
Please Samsung 🙏",Positive
643,good but cringe,Negative
644,So it comes with the stylus?,Neutral
645,"can't lie , samsung are always innovative with their commercials",Positive
646,"every year its has the most powerful processor,, what is the most powerful powerful processor",Positive
647,I need money...f****************k,Neutral
648,"** No UDC no party **  Samsung must think more laterally with sales. It can't be a ''1 phone fits all' strategy. On their site, or in the store, or both they should have 2 sections - 1 selfie lovers and 2 media watchers. The selfie lovers get a hole punch with the best selfie camera possible. The media watchers get a new improved UDC and may not use selfie at all. Come on Samsung, we don't all want a hole punch. Do this for the S24 and also please improve the charging speed to at least 60W.",Neutral
649,What a boring update. Galaxy Note 20 Ultra is still the best.,Positive
650,I’ll stick to my iPhone.,Neutral
651,Still the shutter lag guys. Please make it more efficient.,Neutral
652,"When the S24 arrives  and this one gets cheaper by 50%, I still wont buy a samsung.",Neutral
653,Hopefully it beats the iPhone 14's camera,Positive
654,Have a s22 ultra. Best phone ive owned without a doubt !,Positive
655,The real Beast 🔥🔥,Positive
656,"Samsung!!!
I own a Samsung mobile phone for 7 years and it still works. I use a second phone",Positive
657,samsung galxy s8 and note 8 ad is legendary,Positive
658,"BGM at 2:38 is out of this world, please can anybody tell me where can I get its full version?",Neutral
659,MY used Samsung s23 Ultra.,Neutral
660,Thanks,Positive
661,Where’s The Notch?? 😂😂,Neutral
662,How much in pre order,Neutral
663,This year will stick with s22 ultra.☺️👍🏻,Positive
664,Boring,Negative
665,"I have S22 Ultra and I thought I have a beast phone with all the advertised specifications, but the reality is not and the big numbers the specifications are claiming are nothing but meaningless numbers because my phone still lags when I use the heart sticker in WhatsApp! Don't need fooled by Samsung, they are normal phones with average performance",Negative
666,Nice… but still gon buy iPhone,Positive
667,Samaung is doing fraud in their echange program,Negative
668,Lols everything is copied from iOS 😂😂😂😂 and nothing new,Neutral
669,Mine comes tomorrow before 8pm 🤳🏼,Positive
670,"This is awesome, I can't wait to buy this when I have money, wohooo!! Hehe....",Positive
671,Gimme one for free,Neutral
672,"when he  said that was epic ,i remembered juan from that was epic channel on youtube 😁",Positive
673,"Dont like the camera layout design. Makes it look cheap, change that Samsung.",Negative
674,One Day Insha Allah ❤️ I Have,Positive
675,What is her name ?,Neutral
676,Nice story telling,Positive
677,Best Android phone to grab right now. Well executed Samsung!,Positive
678,Though I can't afford this phone but I'll suggest them who has ability to buy must check this phone. Best wishes for S23 Ultra !,Positive
679,"Can you send me that ? 🔭👨‍🚀
Thank you 😂",Positive
680,Can someone tell me the name of fonts used in this video and also used in every video from samsung. Please someone tell me these fonts name.,Neutral
681,Still in s7 edge...they are getting  better and I'm still in unaffordable margin...,Positive
682,"I have an S8 since 2017. I waited and waited, and raised some money for a new phone. I am thinking at S23U, not sure though due to its sizes. It seems so big, but with all the new specs and camera upgrades I do think it is a good deal. I use my phone for social media, email and a lot of photos (nature mostly and family photos). My S8 battery started to show signs of getting old a few months ago. I thought of other brands as well, but I am a Samsung fan. I am thinking about S23U also because of its battery (which is bigger than the on on S23+). A lot of you mention S22U as being a good phone (no doubt about that), but I cannot say the price makes a huge difference between both of them, and taking into account the upgrades S23U has, I think it is worth it. Any suggestions?",Positive
683,Upgrading from Note10+ to this. 😁😁😁,Positive
684,"If companies want to boast about sustainability and betterment of the planet, then they should just follow the release cycle of consoles. Releasing new phones every year doesn't do well for the environment. Instead like Xbox or PS they should release a phone every 4-5 years or so and with a bunch of new things and not just improving the same old processor, camera and such every year hoping for customers to get rid of their old ones and buy another phone!",Negative
685,"Tbh, I personally believe that Samsung is better than Apple.",Positive
686,great phone,Positive
687,paying for brand new phone but getting recycled plastic box.,Neutral
688,"Nightogotophy in space, I like how innovative is that :D",Positive
689,Watching this in a iPhone 12 Pro Max 😅,Positive
690,"I like the mobile phone, but I can't afford it, thank you",Neutral
691,A phone without a curved screen would be the best feature ever!,Positive
692,Love from INDIA😍,Positive
693,"What's the best screen protector you guys recommend? And also case , something durable",Neutral
694,Will never be nothing more than IPhone clone wannabe devices 😅,Neutral
695,3.3Kth Commented 💙,Positive
696,I love the camera,Positive
697,“Can you send me that” 😂😂😂,Neutral
698,So this is essentially nothing more than just a night mode boost??,Neutral
699,I already have S22 Ultra.I am big fan of Samsung. I wish i would buy S23 with exchange of S22.,Positive
700,Lets say. 5 months passed and iphone 14 pro max video got 25 million views but 6 days left and samsung s23 ultra got 20 million views lets say that Samsung is better,Positive
701,Watching on my Galaxy Grand prime. Nice 😆,Positive
702,I prefer my 14 pro but this is still a nice phone nonetheless.,Positive
703,Great phone as always. Love the design. I wish if I had money to own this beauty,Positive
704,what's this woman doing outside the kitchen trying to explain how a smartphone works,Neutral
705,"Samsung is still 2 years away from apple, I mean when it comes to performance",Neutral
706,"Wow, such a nice phone , same specs as needed, loving this. Every thing is perfect but a small problem is that I still can,t afford. Samsung plz fix it. it should be around $100. Who agree with me 👇🏻      lol 😂",Positive
707,Change the design bro😅,Neutral
708,"could have easily stopped after the first line ""whats new? "" - ""nothing""",Negative
709,Trailers are for non buyers :d,Neutral
710,"You are very kind people give me 1 mobile phone giveaway gift
Samsung galaxy mobile phone",Positive
711,"Reading some of these comments, makes me wonder if I'm one of the few people that are still real.",Neutral
712,Rotfl... Silly comercial,Negative
713,"The important question to me; how does pokemon go play on it? How is the ar photo function, battery life, that stuff",Neutral
714,If the S series has the pen now are they even going to make anymore note series?,Neutral
715,Samsung is just better🔥. Iphone is dead RIP💀😂😂,Positive
716,"hey what’s new 
WHAT IS NEW the name😐",Neutral
717,"hey!!, what's new......?😂",Positive
718,Can the hot girl is free with this phone 💀,Neutral
719,soo cringe,Negative
720,Wow i wish I could have one,Positive
721,"Astrography, Nightography and most importantly expensography",Neutral
722,In love with this commercial 🤩🤩,Positive
723,"Nice comercial but like there is literally no reason to switcj from my s22 ultra to s23ultra, they pulled an APPLE move and released the same phone, im disappointed",Negative
724,Very very very VERY expensive.,Negative
725,Looks like a camera advertising than a phone. Is call quality and signal any good. Battery life?,Negative
726,Astronaut: can u send me that,Neutral
727,i love watching videos of phones ill never be able to own,Positive
728,Still waiting for them to kiss...,Neutral
729,I have been using S22 ultra and I see nothing new  in s23 ultra..🥱,Neutral
730,Is there a micro SD card slot?,Neutral
731,Sorry Apple pls away far... The beast is coming 🔥,Positive
732,Not the pen... there is a reason why no phone has that anymore for like 15 years,Neutral
733,When apple asked what's new from 14 pro max 🤌,Neutral
734,"Good job Samsung, but you can't beat Pixel's ASTROPHOTOGRAPHY!",Positive
735,"I must confess I love this commercial, beautifully done and fun too ❤",Positive
736,What's new? 🤣🤣🤣🤣🤣🤣🤣🤣 The name I guess,Neutral
737,***  and above all is ... cheap ! ***  🤣😂😇😛😛😛,Positive
738,I want to buy it... But I don't know price... How much?,Neutral
739,"I think I need to sell my kidney to get this fantasy phone, I feel like you brought it from the future،",Neutral
740,Its incredible🔥.,Positive
741,So there's absolutely nothing new as always. I'm suprised they didn't downgraded the resolution again or remove the charger port since they removed the sd port and jack output along the years. The S10 i had is still the best Samsung i had,Positive
742,Is 100 x zoom is not available in galaxy s23???,Neutral
743,I wish you didn’t remove the expandable storage.,Negative
744,I realy want it 🤤 ..... but I dont have money 😥,Neutral
745,Amazing piece of marketing 👏,Positive
746,Ugly cartoonish camera and  same old design,Negative
747,Samsung garbage of the century,Negative
748,"anyway, iPhone is better than Samsung.",Positive
749,This is a masterpiece,Positive
750,Can you send me that❤️,Positive
751,Nothing's new but nice marketing 😸,Positive
752,Whatever! iPhone is iPhone😂,Positive
753,Best smart phone commerical in years. 🔥,Positive
754,no seriously whats new?… 💀,Negative
755,"Features is great but it is without a doubt, The lamest smartphone official video 😪😪😪😪😪😪😪😪😪😪😪",Negative
756,This is the best Samsung commercial in decades! Make me really want to get S23 ultra.Maybe i will,Positive
757,Finally everyone can play Nintendo Switch and PlayStation 2 games at High Graphics on Galaxy S23 Ultra,Positive
758,Remember the good old days when a flagship cost only 500 euros. RIP,Neutral
759,Over promotion 😂😂,Neutral
760,"I never seen a phone or advertising like this before in my life
No doubt about samsung ❤❤",Positive
761,IPhone 🔥,Positive
762,I've see nothing new here. These phones are already at their limit,Negative
763,"iPhone Users : We don't care about Ul because we have 3 eye camara and Apple logo. 🤯

Android Users : Apple company fooled you stupid Homosepians. 👽",Negative
764,Iphone is best,Positive
765,Nothing can beat iPhone 😂,Positive
766,That's all??,Neutral
767,Nothing new,Neutral
768,But I like iPhone 14 pro Max 😅,Positive
769,"Hey Sammy, I know you know that you are sufficiently philanthropic. Please give me the S23 Ultra.",Positive
770,Been so long since i saw a genuinely fun intro video for a smartphone launch. Way to go Samsung. I might upgrade from my old one plus this year!,Positive
771,another worst samsung phone,Negative
772,Not impressed....👎🏻,Negative
773,Sony Xperia 1 v is coming,Neutral
774,"Samsung Lover, i used Samsung galaxy A52s 5G. 8/128. 🥰",Positive
775,looks like Samsung hired Marval director for this commercial shooting 😲😲,Neutral
776,"Honest criticism - I'm not impressed.
No actually useful innovation present.

What I would really like - 10+ hrs battery life
And bring back the 3 5mm headphone jack",Negative
777,"These days every smartphone’s presentation has only one thing  “ camera this , camera that, and blah blah blah about camera “. Because rest all is saturated about phones now.",Neutral
778,"Look it's a weak male, gj Samsung at least you didn't go full woke",Neutral
779,"This is great, I’ve always wanted to go scuba diving.",Positive
780,I wish I could purchase this amazing mobile,Positive
781,Tell me whats the different from s22 ultra? Since i got not good experiences after buying s22 ultra.,Negative
782,Waiting for new superpower iphone 15 ultra😎😎😎,Positive
783,"I like Samsung introduction filmes like the s10 series... just like apple does... i think its better to show the product than this ""funny"" way",Positive
784,"Please give me a samsung this smartphone, and I will advertise in all social networks where I am registered, samsung is the best in the world 🤗🤗🤗👍👍👍",Positive
785,I have to buy it after 6-8 months later!,Positive
786,"By not changing the design and not adding much in terms of software, Samsung copies Apple up to the T.",Neutral
787,"Yes, and with a price of average car in my country... no thx",Neutral
788,"I am huge fan of android phones but after the Samsung s21 series I have been in love with Samsung being poor, will I be able to buy s23 ultra pro, never had any this phones",Positive
789,passsssssss on this my s 22 ultra works just fine just a 200 mp camera uhhhhh dont think its worthy to upgrade too and same design same size screen  and black gaps on top and bottom for the price??? passsss on this not much change at all just a camera to 200 mp overall nice new device but my s 22 ultra works just fine...,Positive
790,"Samsung phone exist too much bug while use, never compare to iphone",Negative
791,"Dont know about the phone, this commercial makes me to buy it",Positive
792,"I'm just in love with Samsung wow, this introduction alone is so special",Positive
793,Exactly what's new same as before 😂😂,Neutral
794,I can't wait,Positive
795,"Base S23 could now easily be recommended as the best compact phone; with S22, battery and thermal issues were big problems that held it back from getting that title and instead the Asus Zenfone 9 got it. Now, with bigger battery, more efficient chip, and better cooling system, S23 wins that title by FAR (Zenfone 9 doesn't have telephoto lens or wireless charging, lesser update commitment, and is missing all those QOL improvements that real flagships have). Of course there's still iPhone 14 pro to consider, but a) it's $200 dollars more, b) has weaker battery and charging, c) you can't really compare iOS and Android since no one is really switching from one to another no matter how many arguments you have either way...",Neutral
796,What do I have to do to get one?,Neutral
797,Not an Iphone,Neutral
798,I'm excited for the z fold 5,Positive
799,iPhone is iphone,Neutral
800,Where are the apple fansboys now 😂😂😂,Neutral
801,"Sorry Samsung I never feel it's so new features, really it's become so funny",Positive
802,I really want samsung s23 ultra 😔💔,Positive
803,Iam a s21 owner . Iam so hyped for this,Positive
804,Very expensive phone ..,Negative
805,"Here are some reasons why i prefer iPhone over Samsung. 
1. Battery of iPhone drains slowly compared to Samsung when in idle mode, giving overall longer battery in everyday use
2. When switched off and connected to charger, iPhone switches on its own. Samsung needs to be woken up 
3. Predictably of features",Neutral
806,I must pre order this,Positive
807,I want a mini version of ultra next year. Please make this possible SAMSUNG.,Positive
808,What about battery timings? Can it compete Apple iPhone 14 Pro??,Neutral
809,"I use iPhone 12 & I really don’t feel any need to move ever to 
S22/23.IPhones are blessings❤️",Positive
810,Note- the other guy was an apple user.,Neutral
811,"Hello Samsung! 
I'm from India, can i get a S23 ultra as my birthday gift 😇",Positive
812,I'm watching sumsung phone ad on one plus 😀,Neutral
813,"@samsung 
When are we going to get new tablets",Neutral
814,Apple still clear 🤫,Positive
815,I wish i could have s23 but what can i do i am from poor family☹️,Negative
816,Mindblowing for real,Positive
817,Watching in S22 Ultra🙂,Neutral
818,"This is so awesome!! I've ordered my S23 Ultra, can't wait to get it!!",Positive
819,"Excited about the phone, but this has to be their worst introduction video for a phone !",Negative
820,"Sure will get S23 Ultra 
Can't wait the year 2123 to get it 😍",Positive
821,"This is a bad introduction video. I was expecting more class .
No I am not an apple fan. I just know which video stands out and which doesn't.",Negative
822,Disappointed.,Negative
823,"Not a happy customer . I have samsung  note 9 
Every time I do software update the screen turns yellowish , which was the case with most of the note 9 devices . Last time it happened I had to use my sisters verified account to tweet and get it repaired  . (Which was a long procedure for something that I didn't even do ) 
Cause even after agreeing of this issue from their end,  Samsung yet deny for the repair . 
Now its happened again . And I dont know what to do .  Not a happy customer .",Negative
824,"I have samsung  note 9 
Every time I do software update the screen turns yellowish , which was the case with most of the note 9 devices . Last time it happened I had to use my sisters verified account to tweet and get it repaired  . (Which was a long procedure for something that I didn't even do ) 
Cause even after agreeing of this issue from their end,  Samsung yet deny for the repair . 
Now its happened again . And I dont know what to do .  Not a happy customer .",Negative
825,Yay! another Acid Trip Introduction since Galaxy A5 2021 Series,Positive
826,Dope phone but iphone is still king,Positive
827,Really really awesome phone ever in Samsung series,Positive
828,I have the s22 ultra for the past 8 months and it's awesome,Positive
829,Do not buy any Samsung products! They are pieces of junk that will slow down and malfunction the moment they force their software updates upon you. I will never buy another Samsung product again stay away,Negative
830,"Nothing is new, just a little stupid update. LoL",Negative
831,With S23 Ultra u can gp to space without spacesuit. it creates a magnetic field arround u which control's the pressure of your body and adjust oxygen level even into space... just wait and see......,Neutral
832,Never seen Samsung pull out an epic commercial better than this ❤,Positive
833,I wish I could so easily get in touch with a girl 😢😂,Positive
834,"Willing but not able
On day",Neutral
835,Leaving apple in the dust,Neutral
836,"Good a commercial that finally doesn’t poke fun at iPhones, Samsung has really matured now..",Positive
837,"We have been using Samsung for a long time.  This time, it would be good if smart phones have good quality for night photos.  Because the night vision filters of the Samsung camera are not as good as the night vision of the iPhone.  As Samsung smartphone customers, we are very sad",Negative
838,Price in Pakistan,Neutral
839,Hey Samsung gift me this...🙏,Positive
840,I feel like the guy just wanted to say hi and move on with his day...,Neutral
841,I hope to stop using apple 😑 😍 this one is gonna be super.,Positive
842,I have been a Samsung user for soo long but my dream phone was S Series....... But the fact is i cant afford that,Negative
843,Not upto the mark,Neutral
844,Learn something from Apple while making an ad.,Positive
845,What a advertising best best,Positive
846,Next level promotion😄💯,Positive
847,"It's a good camera but it overheated.. the S23 needs to be replaced, said the seller at SM Mall, so I'm really disappointed. However, Samsung released a lot of Branded products and then the Note Series, Samsung Note10 to 20 Series collapsed.  ' Strongest Cellphone, doesn't overheat../compared to the new Samsungs that overheat now, since Compisca, Samsung has changed the Note Series because other Brands that are its partner are at a loss.",Neutral
848,The ads is yakkkk🙊,Neutral
849,It's the black dude coming after all had been said 🙄,Neutral
850,What kind of ad is this...,Negative
851,"Never give this woman a Samsung 

Ever 


Please",Negative
852,"well this video hit me hard, i was a samsung user for years before turned to iphone, after 5 years using my iphone i think this is the time to switch back to samsung, really, iphone is boring,. Samsung, here i come 😍",Positive
853,I was digging the universe part felt like I was there since I am high,Positive
854,"Thank you Samsung to be the same phone from the last year, and que last last year and going..",Positive
855,Gosh I need to switch my Fold 4 to this now 🫡,Neutral
856,"""Where's you sled?""
""Don't need one""
Thought she was going to ride the phone 💀💀💀",Negative
857,Way better,Positive
858,Best “samsung introducing” trailer ever,Positive
859,So childish,Negative
860,"Who else thought: oh hey, Camila Cabello ?",Neutral
861,I used to love Samsung😢,Positive
862,You got one more subscriber,Neutral
863,Pls don't mention the iPhONe here.. it's uncomparable...pls,Negative
864,"I will still say ... Whats new ... Nothing new in this video.. 
all same features",Neutral
865,Galaxy S23 is the most beautiful Samsung phone EVER !!! I want to buy the Galaxy S23 Plus Green colour 😍🧡,Positive
866,"as iPhone user, this is good :)",Positive
867,This version will kill em all,Negative
868,Need to change my s9+ and note 10. I want this phone!,Positive
869,"It's a good camera but it overheated.. the S23 needs to be replaced, said the seller at SM Mall. So I'm really disappointed. However, Samsung has released many branded products and then the Note Series, Samsung Note10 to 20 collapsed.  Series' Strongest Cellphone, does not heat up../than you Compared to the new Samsungs that now Overheat, since Compisca the Note Series has been changed by Samsung because other Brands that are its partner are at a loss.",Negative
870,I'm currently using note 10 plus and I don't think I must upgrade,Neutral
871,"I love that Samsung, unlike Apple, doesn't lock the comments section...",Positive
872,When is the release date?,Neutral
873,Watching this on s23 ultra,Neutral
874,"Its too cheeky for an ad, seriously",Negative
875,Looks the same as the S22 Ultra. Nothing new. Meh,Neutral
876,They should add a built in screen recorder like apple what do you guys think,Neutral
877,Boring,Negative
878,200 times better than iPhone 14 pro,Positive
879,Can't afford to buy such a high price mobile.. A kind person can give a gift 🙂,Neutral
880,that was actually good advertisement. and the fact that samsung allows comments is enough of a shame for apple.,Neutral
881,"If samsung is following apple with no proper design and price update, I think I've made the good decision to pick pixel 7 pro. Google as a holistic has got all in one with good design and good configuration and good price.",Positive
882,Watching from Galaxy S8+ user 😂😂,Positive
883,Hey change the back,Neutral
884,"I can watch Aisa on YouTube, that's a lot, S23 ultra for the poor, someone can give it as a gift 🙃🙃",Positive
885,"Selfie camera just 12 Mp.. 🙄🙄🙄
It's new... 🤪🤪🤪",Positive
886,The beast is here,Neutral
887,"Samsung will take the crown this year,Best smartphone ❤️",Positive
888,"Sad man , sorry but lost hope on Samsung",Negative
889,"As a customer i will never recommend Samsung and will never buy one again, last year i bought galaxy s22, after 3/4 month it became the most laggy phone i have ever used, fast charging doesn’t work anymore, take 2.5 hours to become fully charged, don’t even get 4 hours on screen battery backup. Started having noisy speaker, reaching out to customer service is also another worst experience, feel like throwing 800+ euros into the bin.",Negative
890,I swear all samsung cares about is the camera now,Negative
891,Back to old school. Informative and fun 👍,Positive
892,"The size on these phones are ridiculous, an average person can't even use the phone with one hand anymore, it seems like they are making these for NBA players.",Negative
893,iPhone is better,Positive
894,Yaxshi telefon,Neutral
895,"After disable band selection function from june 2022 now i hate samsung phone,  it's only camera and copycat iphone",Negative
896,So cool!! I think imma switch to samsung❤,Positive
897,did you have to make the trailer cringe ?,Negative
898,That's was amazing 😍,Positive
