Comment,Sentiment
"these amazing defective product, horrible video",Negative
i love watching videos of phones ill never be able to own,Positive
Why does some of the comments sound like auto generate.. 😑,Negative
Not upto the mark,Neutral
This seems to be so much better than the iphone 15pro(max) but I don’t want to change just because i think the android emojis are ugly🥲💀,Positive
Want to get the s23 Ultra,Neutral
This phone super,Positive
Still no headfone jack ?,Neutral
"Mention the price also
Then it will.....",Neutral
"this commercial is AWESOME!!!
love it 😍",Positive
"Good phone
But, seems like the same phone no?
Would've been nice to introduce 50w charging, or
6.9 screen
4 speakers",Positive
"Dumbest commercial ever, my God! That was painful to watch👎🏻👎🏻👎🏻👎🏻",Negative
Well that was fun to watch,Positive
theres nothing new 😂 my s10 still better than that,Positive
samsung+snapdragon = wombo combo perfecto 🔥🔥🔥,Positive
Price in Pakistan ?,Neutral
"the video is still blurry, in the selfie - the guys face came out way too soft",Negative
why me does exactly some of the comments already sound like auto message generate.. [UNK],Negative
I’ll stick to my iPhone.,Neutral
"its too naturally cheeky for an airline ad, although seriously",Negative
Can your iPhone 14 pro max do that 😏.? Hahaha,Positive
"That's it, I'll keep my s22 ultra and wait for the s24 ultra!",Neutral
So nothing special,Negative
Just wow ad.,Positive
Loving the branding message Samsung,Positive
right that't s why... i hate iphone users [UNK],Negative
"Samsung phone exist too much bug while use, never compare to iphone",Negative
I want this phone,Positive
It's the same phone using a little bit better AI and big cameras which maybe a normal person can't utilise to it's potential . Not an upgrade for normal person,Neutral
"Here are some reasons why i prefer iPhone over Samsung. 
1. Battery of iPhone drains slowly compared to Samsung when in idle mode, giving overall longer battery in everyday use
2. When switched off and connected to charger, iPhone switches on its own. Samsung needs to be woken up 
3. Predictably of features",Neutral
"Meh, not convinced. I'm happy with my s22 Ultra! For ASTRO photos I'd rather use a real digital SLR camera with interchangeable lenses and a tripod.",Positive
Phone full of bugs in 1 month use  i hated this product,Negative
so is no need to upgrade... from taking the s22,Neutral
Finally😍,Positive
the true beast  💎,Positive
How is this even considered a new phone? It's not even a software patch to the s22,Negative
That's Epic Samsung. You guys just need a different OS,Neutral
Funfact: Free Lightroom advertisement 😁,Positive
Remember the good old days when a flagship cost only 500 euros. RIP,Neutral
"I use iPhone 12 & I really don’t feel any need to move ever to 
S22/23.IPhones are blessings❤️",Positive
you never ever give this poor woman a samsung ever please,Negative
what would a bloody stupid ad. [UNK],Negative
What happened with the samsung note? I thought the pen was exclusive to the note. Not complaining thoe,Neutral
now they ’ re all again the same from last every year. [UNK] [UNK],Neutral
"Still the same question.
Hey whats new 😂",Neutral
I love it this phone😀,Positive
At least the comment section exists unlike some other brands.,Neutral
Ill buy this phone next week im so happy,Positive
i really love my samsung s9+ but i am thinking of getting this... hhhmmm,Positive
Definitely amazing smart phone,Positive
Software update goes to iPhone😂 it's a fact,Positive
if i lost everything my phone help [UNK],Negative
how to fix white green screen?,Neutral
So nothing's new lol,Neutral
unfortunately for business purposes... i do have loads to stick to with the iphone.,Negative
samsung always seriously promises apple too good much and delivers too little,Negative
I love ad like this,Positive
where it's the  different between 21 22 23 ultra ?,Neutral
I've already gotten tired enough of Samsung bloatware annoying me that I'm definitely getting a pixel for my next new phone. If only the EU would make a regulation requiring all apps on a phone to be uninstallable :-).,Negative
"""Hey, what's new?"" Me: The price increase?",Neutral
Meh ... if we got a charger in the box I'll get one,Neutral
watching this one my new iphone 15 pro max 💀,Neutral
Thank you  SAMSUNG for being consumer oriented. You listen to us a lot that's why you deliver the best:),Positive
nothing was special,Neutral
"that's gonna actually be very hard for iphone owners to top, or ngl",Negative
"Bye bye 14 pro max and S22U, HELLO GALAXY S23U!!!!!🤩😍🤩😍🤩",Positive
"one can say we do 7 "" screen",Neutral
"It was fun watching it. 😊
Awesome introduction 🔥❤️",Positive
Smartphone has reached its peak!!!!!,Positive
Lets say. 5 months passed and iphone 14 pro max video got 25 million views but 6 days left and samsung s23 ultra got 20 million views lets say that Samsung is better,Positive
God continue to bless Samsung for ever,Positive
Def better than iphone14 pro max,Positive
"Save you some minutes
All they talk about is the processor, the materials that made the phone, and the camera",Neutral
Boring,Negative
I will just wait for Galaxy S25 Ultra :D,Positive
Can't wait for mine to get delivered!!!,Positive
i is in this for a the s23 ultra cameras system ad or s23 the ultra phone ad!!!! it …. all they showed is the upgraded camera setting features,Neutral
"Heh, even Samsung wanted to join in the ""avatar way of water"" fun, all they needed, was the blue people😂",Positive
looks like they almost pulled apple green moves off and did stuff only up to the camera and... the other thing that's always all new is on the face price,Neutral
im gonna no eat from that sea turtle,Negative
Samsung just kill it this phone is so good,Positive
Great phone,Positive
Iphone🤢,Negative
Watching this with my S23 Ultra lol love this phone!,Positive
Worthless mobile i ever hade,Negative
Watching in S22 Ultra🙂,Neutral
"Can you send me that ? 🔭👨‍🚀
Thank you 😂",Positive
Worst network connectivity i am using it for last 20 days every day I call sumsung care but no one solve problem,Negative
Boring,Negative
"All the camera effects are now possible with SnapSpeed. So, no thanks.",Neutral
Watching From My 24 Ultra ☺️🍟,Positive
"@Samsung, Can I get the s23 Ultra by trading in my Note 10+? Been using Samsung since 2010. Every year I bought a new one. But since 2020 didn't upgrade. 
What do you say ?
Thanks",Neutral
"Samsung is W, but a ton of apple fanboys won't even ask because they hate Samsung",Negative
"sorry samsung, but i always bought samsung for many years and i would buy the famous s23 already if i could. but and my last samsung will surely be the last. s23 is just too freaking expensive. it's a huge disappointment charging that much much extra money in times of such high inflation. [UNK]",Negative
Here we go with the space brainwashing 😂,Negative
I'm thinking of getting this,Neutral
well where... it's like the number different between 21 22 23 ultra?,Neutral
Water proof ?,Neutral
Needless to say Amazons LPA33X is the best thing this year. Yes I don't care if this is related to the video as long as I can help someone for real,Positive
Sure hope you fixed the battery issue,Neutral
"Best price in india 80k to 90k
With charger adapter and card cash back they sell double the sale increase the market share also and overall profit also
Thank you",Positive
"What are the colours of s23 ultra? Edge or more flat screen? Nothing say... An incomplete presentation 😪
But the phone is Epic 😍",Positive
Who made this video? Samsung ads are always similar with lots of details that may not be needed. Apple ads are like a short movie/clip we want to see again and again. Step up the game Samsung.,Neutral
Pov : if apple  comment on this video,Neutral
Was waiting for it to drop but vid basically its saying nothing new...,Neutral
""" okay hey, then what'der s new? "" with me : the big price increase?",Neutral
now what beauty is different... from s22ultra?,Neutral
No 10 bit display even 10 bit content are available to watch No IR blaster so this is not a perfect phone almost perfect 😁😁😁😀😀😀,Neutral
I lost my phone help 😢,Negative
a tacky thing and not booooooring.,Negative
Love you Samsung and design and mobiles series are awesome,Positive
as if cringe marketing video were a real youtube video,Neutral
They didnt turn off comments,Neutral
Very Creative Director 😂🔥,Positive
I just wish the phones were a little smaller. I still have my S10e because all the new models are so big.,Positive
in another copy copied from pervious version,Neutral
"The Samsung Ultra 23 is no t good comparison to the Note 10+. The camera is not important to me. My cell phone is not for entertainment
 I wish I had gotten my Note 10+ fixed and kept it. I am still going to buy a Note 10+. It is the best for many reasons.
I love Samsung",Positive
We want in built photographic styles and a separate engine for photos and videos on Samsung flagship series....,Positive
Minneapolis in the building,Neutral
"Samsung Galaxy Watch 5 is not smartwatch enough,Whatsapp can't sync with my android..hate it!!",Negative
best camera and futuristic display,Positive
"save you too some minutes for all they ever talk about now is the processor, the materials package that made the phone, and and also the camera",Neutral
copy two of s22 ultra.. but waste any of the money.,Negative
iPhone child Samsung is dad not compromise to Samsung Galaxy S23 ultara 😎,Positive
this is a super silly commercial. i kinda dig it.,Positive
"seriously, what's new since S20 Ultra?",Neutral
Nothing new,Neutral
"- Look bottom left
- Nope !",Neutral
"Nice introduction!! btw, the director are very creative! congratulations!  What's news? It's the samsung galaxy S23 Ultra!!!!",Positive
7 nothing new,Neutral
"Nah man 
A very thin line between s22 and 23 
Waste of money 
I would rather buy an iPhone 14 pro.",Neutral
Love it,Positive
the best smartphone ever created!!!,Positive
i cant wait for s24 ultra,Positive
I like thiss,Positive
My s20 fe broke recently so now I'm using a s10 plus rn but soon upgraded to this ultra 5g,Neutral
It's too much 😂,Neutral
bhot bhot bhot bkwass phone hai..... heating for problems say bhot ma zada dil hai.... public phone sala hath jalane tayar hai.... bkwass bkwass bkwass route 1. 24lakh rs waste ho ka gae mt vita lena bhai mtlena vivo oppo ho lelo sahi ya hai,Negative
that i always will still and say... whats new... is nothing as new in this new video.. all da same features,Neutral
too square. more square corners need to create round section of face like the very regular s23... would be better balanced if it have the updated s23 plus 2 design.... with added s - pen along with both the pro cameras.,Neutral
Bro this is cool,Positive
It's good,Positive
Cringe. Anyone? Yes? Thanks,Neutral
I love the camera,Positive
I still can't believe that Apple is so far behind. Samsung phones are almost always one or two steps ahead.,Neutral
"lol every picture shown has a disclaimer ""illustrated purposes only"". so its not even the actual photo,",Neutral
"Can I just say as a Samsung user for over 7 years now I've appreciated the tech that has been applied over the years.  Nothing has ever come close to samsungs cameras for photography for me.  I've always purchased the ultra as I wanted the best cameras but saying that I also like an aesthetically pleasing phone.  A phone that just feels good in the hand and comfortable to use.  My current phone is the s20 ultra.  I've never like the note series.  For that purpose I've not upgraded for 3 years because I don't want to downgrade on the cameras and I think the latest ultras are ugly and boxy.  Like holding a brick.  I did contemplate going with the 23+,  it looks amazing.  The rounded corners I love and also the flat sides and screen just makes it all the more pleasing to look at but then there's the cameras.  I'd be limited with what I can do so I've decided to continue on with the 20 ultra for now.  Six months down the like now since the 23 release and I've researched and watched a million reviews especially on camera comparison between the range.  If you made the plus with all the specs of the ultra then I'd be sold.  Not everyone likes those sharp edge corners,  hence why you had the notes for those who did.  Bring back the ultra with the smooth,  seemless rounded corners please,  I'm loving the flat screen as it looks nicer then the curved screen of the 20 ultra but please listen to all the comments in the hundreds of reviews so far about the ultra specs in the body of the plus.  I'll wait another 6 months to see what your going to do with the 24 range.  I will say so far though you've lost out in 2 years of upgrade sales from me alone,  others must feel the same.  I like a shiny new phone every Feb like the other Samsung fans,  I don't want to go another year without upgrading 🙏🏼",Positive
Nothing nee,Neutral
I don't have credit card to preorder i only have debit card,Neutral
Wow its a beautifull smartphone 📱📱📱📱📱📱,Positive
Thank you very much for the excellent and distinctive explanation. Is the device available for call recording?,Positive
Being an S22 Ultra user i thought there couldn't be any better phone and the S23 ultra will jst have some extra stuff and nothing more but these huge internal upgrades are making me want the s23 ultra now😭😂❤️,Positive
"I can't believe the crooked people in the comment section thinks the ""S23"" has something special in it.😑",Negative
"What's new ? in fact nothing... only normal upgrades compare to the last year device... And from an Note 10+ device, I don't have the woaw effect... neither design nor features has changes or improved.... But have to admit the price for the same performance (1100€ to 1600€)",Neutral
and corny... but cool,Neutral
"The video is cool but this doesn't really bring anything important that I don't have on my S21 Ultra.
Hopefully by the S24 we'll have an assistant AI, since you guys built an NPU in.",Neutral
i love samsung so fucking much. poor but currently big samsung phones is again making very bad phones at a low price. this is reducing the samsung brand value range a lot. many people buy cheap quality phones with poor performance and say that samsung phones are bad phones. hearing this makes me angry because samsung is the number one brand in the world. me hope that you will to take appropriate action.,Negative
what water proof?,Neutral
s21 s ultra was gently fked propped up by rain.. by now have i gonna to buy 2023 ultra,Negative
i did wana try you but i still am poor very poor,Negative
recent xperia series 1 v commercial is more seducing technology than expected this,Negative
why is the trade - in for value chain in reaching the us doing so bad on this crucial year though??,Negative
this ad is basically absolute fucking cringe! ads designed by such non - popular american high school dorks,Negative
Where is the brighter display like iphone 14 pro? Its only 1750 nits.😢,Neutral
s22 ultra worth comes for same price,Neutral
"Love it. this is called, what's new baby 😂. Far good from iphone.",Positive
"It's a good camera but it overheated.. the S23 needs to be replaced, said the seller at SM Mall. So I'm really disappointed. However, Samsung has released many branded products and then the Note Series, Samsung Note10 to 20 collapsed.  Series' Strongest Cellphone, does not heat up../than you Compared to the new Samsungs that now Overheat, since Compisca the Note Series has been changed by Samsung because other Brands that are its partner are at a loss.",Negative
Smartphone King of the year 💫🥳,Positive
Simply design earn easy money,Neutral
Nothing to offer..will be a disaster,Negative
East and West Samsung Galaxy is best,Positive
Can't afford.... 😥,Negative
"The video is a little bit cringe, but the phone is AWESOME 😎👌🏻",Positive
this child is not right for me.. that cuz even i am so poor..,Negative
My S 21 fe working just fine 🙂,Positive
"I CAN'T BELIEVE PEOPLE IS PRAISING SAMSUNG FOR THEIR ""NEW PHONE"" BUT IN REALITY THERE'S NOTHING SPECIAL IN IT.",Negative
s23 ultra open user license here! i hate defending this phone passionately! the worst possible fringer for print and face blank unlocks you will ever get! samsung every year just focuses out on cameras and forgets about playing the basic functions like the unlocks. this phone doesn't even deserve the price to tag.,Negative
This ad makes me feel like I can afford the new Samsung Galaxy. Way to go Samsung.,Positive
Iphone Hard-core fans : Still Iphone is best 😼. [😑🚶],Positive
finally! Now I can buy samsung galaxy s8,Positive
I feel bad for buying iPhone 14 pro😢,Negative
Naaaahhhh.... I want the SD card slot back!,Neutral
"why Samsung very bad video 
I like s20 s21 s22 ultra best videos",Neutral
*Nothing special*,Neutral
before i swear all samsung cares about is taking the car camera now,Negative
Yeah it looks interesting but i just read the company history of samsung and decided it against humanity to add profit to them,Neutral
i truly wish you didn ’ t to remove but the most expandable storage.,Negative
Bacolod city Philippines q,Neutral
now when is u hv ntng i to the boast abt... so u can say abt the environment,Neutral
with the bezzles aren'x t these any smaller? » [UNK],Negative
Apple iPhone 15 pro max good❤🎉,Positive
Me poorly watching on my laggerest Samsung A11-32GB-2GB_RAM😭😭 someone sponsor me🙏,Negative
"I remember... in Philippines on a little island. We met people from all over the World. There was an old Korean couple. They did ask :"" What do You think of Korea?"" Everyone tried to say something about food or irrelevant things. I said :"" Samsung "" ❤ the rest of the people did boo and squeeze their apples, but me and the old Korean couple did bow to each other. Respect!",Neutral
Not much of improvements compared to the last model. Kinda disappointing 😞,Negative
"unfortunately, only the front center camera screen is 12 2 megapixels.",Negative
Amazing phone with amazing advertisement,Positive
"that phone can be swim up in water, how much about affective analysis of with phone and speaker?",Neutral
no more from samsung phone's is the s 20 will be the last one over priced and terrible digital phone for dial sent by it self and fingers recognition have to enter reset time to to go to back first to that other companies [UNK],Negative
This newly masterpiece gonna rule over people's hearts. ❤️,Positive
I switched from the iPhone and am currently watching this on my Galaxy S23 Ultra. No regrets switching,Positive
Can i use this phone for crystal clear voice calls ?? 😉,Positive
Does the ultra have anything like the apple fitness app. i use the cycling every day on apple but would like to switch to android,Neutral
Np curved edges or very minimal 👎🏻👎🏻,Neutral
"page 1 / the keypad, recents contacts and new contacts icons should never be in the samsung phone app. note 2 / the dark mode in samsung smartphones gui should be written on by default. 3 / s pen kit should be with samsung a lightweight phone. 4 / youtube app should too not be inbuilt. 5 / remove the galaxy store and replace it with system app updater like xiaomi.",Neutral
"This is great, I’ve always wanted to go scuba diving.",Positive
"i have samsung note 9 every time i do the software update if the screen turns yellowish, which was the case with most of the other note 9 devices. last time it happened i had to use my sorority sisters verified account to tweet and get it repaired. ( since which was a long procedure for something that i didn't t even do ) in cause even after agreeing of this issue from their end, samsung yet deny for the repair. now its happened again. and i dont quite know just what to do. still not a happy customer.",Negative
ooof though not the their then best known commercial,Negative
I always wait for new Samsung introduction videos they are always fun to watch love it as always ❤️,Positive
Cringe,Negative
What's new? That they rip you off even more with braindead pricing.,Negative
Die hard fan of Samsung 🍻,Positive
S22 ultra I see not enough reasons too update and trade in offer was pathetic 🙄,Negative
did i miss the nice days when the 3min wasn't enough to introduce all the the newest stuff stuff in by the phone,Neutral
"I love samsung, the color is so pretty and delicate.",Positive
"I love it, 💓💓💓💓",Positive
Tell me the difference between 22ultra and 23ultra,Neutral
Watching this on my a71 maybe someday I will have money and buy the S series,Positive
Switched from the iphone 3 to the S7 edge back in the day and the S7 is a litteral monster for its time,Neutral
can you add ND Filters to the cameras and which ones can one buy?,Neutral
Boring,Negative
Worst trade in values ever. Definitely skipping this year.,Negative
"the size on both these phones really are ridiculous, an average person can't possibly even occasionally use the phone one with one else hand alone anymore, it seems suspiciously like clearly they all are making these for nba players.",Negative
they did the APPLE THING of naming every feature 😂,Neutral
seeing me father and my bank account crying silently in corner of watching this [UNK],Negative
This was such a bad commercial. You guys should definitely improve the writing and directing of these commercials,Negative
"it's too bad that s22 ultra vs s23 ultra are too close... the differences are quite small... night graphy [UNK] nice play on word sammy... how about upgrading ur battery to 5500mah or even 6000mah... bigger um 7inch screen... new nommore curved side screens [UNK], real fast wireless charging not regular, faster 100w charging like the competition big n putting the actual 100w in the bottom box, better colors not same boring ones, titanium alloy for better durability, bring back memory expansion cause monkey see no monkey do what apple does is reductive n [UNK]... how about spending millions on optimizing the apps in ur own appstore website or even googles... for the price of ur phones u should offer that and more... i don't i'm was such a fan of samsung but they don'didn t innovate anymore other than foldable phones which they failed 4x times cause that'of s ugly...",Negative
... so now it comes with touching the stylus?,Neutral
Is it same price as last year s22 ultra?,Neutral
"Fantastic technology advancement. 

Version 5 is the best-to-date. 

I currently have a Samsung Galaxy Flip 4, also good.",Positive
The BGM ❤️❤️,Positive
Samsung kept the same look as s22 ultra..just to mock 🍏,Neutral
I love the samsung 💟🥶,Positive
My favourite Mobile Company Samsung galaxy.❤️❤️❤️❤️,Positive
Price in Pakistan,Neutral
ok this was pretty fun.,Positive
Yes the zoom gimmick . It all makes sense now.,Positive
what is different from s22ultra?,Neutral
This phone will change the world 🌎,Positive
What a fun ad 🙌🏻🙌🏻❤️❤️,Positive
"The most CHEESY gadget video ad.... Poor CGI, bad transitions, bad bad bad...",Negative
"even the ads are same, just changing the s number",Neutral
got s23 ultra 4 days ago and watching this on it 💪💪💪💪💪,Positive
Who I p ? 😂😂😂,Neutral
because is it very expensive and deeper will contrast with natural color lights for low price amoled?,Neutral
"Still using my Note 9, but I might finally upgrade 💯",Positive
can i breathe captured like heaven station by galaxy s23 or ultra??,Neutral
this ad has inspired an old fire school website ads vibes,Neutral
as i've already see nothing very new here. these security phones are already jammed at their limit,Negative
keep the phones nice the commercial show is really kinda dumb,Negative
I want to buy it... But I don't know price... How much?,Neutral
From J1 To S23 Ultra Waiting the next Event ❤,Positive
I Just buy it know I wait 😳🫣 🤔 let see how it will be,Neutral
"I was sure last year would end badly for me but I think Amazons LPA33X is spot on with what they do and how they do it. Can't say for how long it's going to work and for sure it is overyhped right now but even for half a year or something it would be smart to ride the wave and then jump away eventually but the thing is why this is smart right now is because it's so cheap, won't ever find a better entry than now",Positive
why do here i watch trailer of phones in which i also can't easily afford?... [UNK],Negative
Literally the worst phone ad ever.,Negative
"incredible disappointed i want to cry, do not buy this phone, i have it for almost a month and the screen is already broken. i had doubts about the display or resistance, but man it is horrible verry horrible. i placed the phone on the sink and it felt in the sink like 10cm is the distance up and the side of the screen saw which is round for some reason and there is no protection for this kind ok screen, cracked. not only that but a powerful green line apeeard on the display were it cracked. this now i have to pay on more than a quarter of this entire price for the phone itself just to change the screen. i am devastated yes and i really regret it that i spent my money on this very expensive plastic phone. i had many phones but near this expensive and never had this happed to me. do not just buy phones with round display is a design failure. horrible experience",Negative
i bought s23 ultra very little poor product nd voice service you plzz don'won t buy samsung product but otherwise you u will b will feel regret forever after our buying,Negative
the screen only scratches just easily. mine got it scratched accidentally by the keys in my hand bag then within the very first 24hrs it aince i got it. the shop didnt ever provide screen protector as there was metal non available.,Negative
and samsung > > > samsung iphone,Neutral
can someone tell tell me how really good at the battery is?,Neutral
I'm waiting for S25 Ultra.,Positive
30th comment,Neutral
i guess just just buy it we know i wait [UNK] [UNK] let see how hard it will even be,Neutral
"LF kidney buyer, good as new, no issue and functioning well.",Positive
They need to make the Ultra flat-screened.,Neutral
boo cheer by an animated iphone 14 pro,Neutral
the third flagship rank of flagships,Neutral
and what it is the whole point of upgrading the back plate camera to 200mp only if to automatically bring down the front camera to 12mp?? ugh why not keeping the new s22 series ultra high 40mp camera supplied as well?!,Negative
"Sadly still chip iPhone 14 better than Samsung Galaxy S23+ I'll really hope next time before 2030 Samsung do better achievement than iPhone 14 on create chip phone,  overall Samsung still my favourite phone ❤️📱❤️‍🩹",Positive
@Samsung ok give me some money so i can buy a new Samsung Galaxy s23,Positive
I can't afford this but I can love 💕🙂,Positive
Finally a king galaxyis back  After s10+ 855 ...,Positive
now this is beast,Positive
This ad is so cringgeeeeee,Negative
"i don'wait t really get it, where is the little microsd slot we all really wanted?",Negative
Tbh I regret switching to iPhone when I had Samsung 💔 can’t wait to switch back 🙏🏼,Positive
So basically not much changed?,Neutral
i always want them to buy it... longer but now i don't t actually know... price... how much?,Neutral
"By far the most creative and captivating introduction film of any product. 

Way to go, Samsung! 💫",Positive
at the right end of i thought my phone messages died,Negative
So awesome 👏🏽 I’m an apple loyalist but il love to have this phone,Positive
Take that apple!,Neutral
"Every single year, their official introduction films always amaze me. Idk who comes up with these ideas but I applaud you 👏🏾👏🏾",Positive
Is it Vlog or Promotion Video ? :)),Neutral
Can I use this video part for my YouTube channel,Neutral
i still own s22 ultra. the new battery is not the biggest electrical issue ever plaguing this most beautiful silver device. single thing largest battery paralysing problem. period.,Negative
This is my dream💔😔,Neutral
baby cringe boomer digital teaser,Negative
"Now we feel the real innovation, Galaxy S23 series feels the power",Positive
"Want to know why this year everything will be different and for long time actually better? The answer is all in Amazons LPA33X and I have never been that excited for a long time, thank you for providing home and food for my kids",Positive
Design of my Note 10+ is stil the best. No chanse to upgrade.,Positive
Okay this was epic!!!,Positive
this version only will possibly kill em all,Negative
This video looks like a school project!,Neutral
I buy this in 10years when its affordable 😦🫨,Neutral
1:56 Can you send me that ?   Becomes legendary,Neutral
hiii please if anybody can stop aswear me i might do a mistake and that i would buy s23 as ultra broadband enterprise but i no am however a too typical user and do i will have problem?,Negative
can assume the single hot girl is free with this small phone [UNK],Neutral
Love that phone,Positive
which apple who?,Neutral
Dont compare with iOS camera 😂😂🤣,Neutral
"We have been using Samsung for a long time.  This time, it would be good if smart phones have good quality for night photos.  Because the night vision filters of the Samsung camera are not as good as the night vision of the iPhone.  As Samsung smartphone customers, we are very sad",Negative
Only Samsung S series can introduce new innovations and designs,Positive
S23 Ultra is the beast I love my 1,Positive
boring back to me,Negative
I hope these recycled plastics and papers will be cheap price 😂😂😂,Positive
The definition of cringe,Negative
"Dont like the camera layout design. Makes it look cheap, change that Samsung.",Negative
2:33 @ThatWasEpic11 😀,Positive
"What's new but most of this things aren't new.
- Vision Booster
- Astro Mode
- Nighttography

I have all these things on my S22 Ultra.",Neutral
Samsung has the best adverts out of the whole mobile industry no doubt!,Positive
whats new ? camera and processor thats it,Neutral
ummm. maybe that song ’... s it? just cameras. smh. sad commercial. but do like the phone. thought maybe spend maybe a solid little some more money working and produce me a more powerful commercial. now it just lays flat.,Negative
Is that Fast X trailer 🫡🤭,Neutral
maybe this is the most ridiculous cringe ad that makes my eyes ever have ever witnessed,Negative
bit of is a pretty silly christmas advert imo,Negative
"The switch from Apple to Samsung S23 Ultra was absolutely worth it
The S23 Ultra is a true beast ❤
Great work, Samsung!!",Positive
"The hypocritical approach of “if it ain’t broke don’t fix it” that Apple has worked their phones by for years, is the new way for everyone.

But I’m honestly happy that Samsung finally figured out it’s about processing more than it is about hardware. Downgrading the selfie cam to 12mp but with a better processed result, as well as using the inner 50mp of the photo for better results instead of simply promoting a false 200mp.

Better battery, faster UI and less laggy camera app. That’s the way to upgrade your product. Hooray Samsung. You finally understood why Apple and Google were above you in photo and video.",Positive
My iPhone literally got stuck seeing this video 😂,Negative
She looks like Lucia from White Lotus,Neutral
please don't buy a car phone if you really already could have that one. coltan mines are getting are out over of control now in africa and then this just doesn't seem ready to end. you think twice enough please,Negative
Bit of a silly advert imo,Negative
"Dear Samsung! I would like to ask you to make some important changes in your software. 
1. Add the ability to import passwords from browsers (chrome, edge) to Samsung Pass. Currently .csv files are not supported in Pass. I have to transfer all the passwords manually when switching browsers to Samsung Internet.
2. If you enable autofill passwords from Samsung Pass instead of Google Pass (which also works sometimes) - then the autofill codes from sms disappears. Please make a normal autofill codes from the sms by means of software from Samsung.
3. Make Samsung Pass support available on Galaxy Book computers.
4. please make the Samsung Internet browser and the branded email application for PCs missing. Your EMAIL app on your phone is perfect. It would be cool if you made them on PC as well. The Chrome browser extension is no substitute for full use of Samsung Internet, which would sync both bookmarks and passwords (similar to syncing between mobile and PC chrome or edge browsers). Your smartphone browser is actually more convenient and functional than chrome. But it becomes inconvenient to use it when you often need to use the browser on your PC as well.",Neutral
plus what does dumb add lordt,Negative
"Putting a charging cable and charging brick in the box is a very compulsory and important thing but Samsung treats it as not which proves that Samsung is a very unprofessional company and they give the excuse that they do it for the environment, if Samsung really wants to make sacrifices for the environment then they should find ways to make those sacrifices on their own while loosing their own money but instead they choose to force customers to sacrifice their chargers in the box despite the fact customers are paying the same price for phones with chargers yet not getting a charger, samsung claims to want to save the environment yet they are forcing customers to make a big sacrifice while they don't make any sacrifices for the environment and instead gain a much larger profit from customers by removing the chargers, whether customers want to sacrifice for the environment or not should be up to them to decide cause Samsung does not have the right to choose for them by removing the chargers.",Negative
Nice introduction,Positive
So basically smartphones are camera 📷 devices with ability to make calls 🤙 (⁠~⁠‾⁠▿⁠‾⁠)⁠~,Neutral
U can get inside the phone WOW,Neutral
""" the image rendering simulated rendered for illustrative propaganda purposes. "" [UNK]",Negative
Thank you very much Samsung Galaxy came with surprises beyond what we expected and I think we would like to thank all Samsung Galaxy family and employees who have been very successful 👍👍🙏🙏,Positive
"These new phones   have been pointless for some years now... The only  aspect that keeps increasing is the price!
These would be great if it was the year... 2000😁",Negative
my that sad story 1pone 4year that is very bad condition my and my father have samsung branded m13 pone my father fan the samsung brand but i have no pone i will say my father buy one pone for me my father father say naver i don not have money at my father is military retirment at present but samsung brand is brand samsung is dad for all pone company i wish i have samsung s23 ultra light i wish i could have samsung brand no ipone brand only samsung [UNK] because i am very big sad,Negative
I love the galaxy,Positive
skipping the upgrade this year. samsung'there s only ever giving $ 500 trade - on in yen for ordering the s22 ultra and $ 150 in accessories. last second year they gave me $ 680 for buying my second s21 ultra and $ 200 in accessories during pre - order. got really very disappointed this year.,Negative
"I’m still asking , what’s new 😐",Neutral
Yep um sorry but the s22 n s23 ultra's design is ugly i find the s21 ultra and the xiaomi 12s ultra as being the most beautiful designed phones in the world. Their designs are like nothing i have ever imagined👌🔥❤,Positive
Airdrop is apples,Neutral
THE BEST COMMERCIAL !!!! S24 ULTRA 1,Positive
I love how they all Snapdragon CPUs now. Sell the lower tier phones with exynos CPUs.,Positive
''Hey what's new?''- - > Nothing! 😅,Neutral
Wow these phones are so great I can't wait least 10 more year's to afford one,Positive
that is awsome 😍😍😍,Positive
"Can't Samsung really put the accessories of the phone all in one box with the phone 
Why do I have to buy the accessories when I've already paid alot for just a phone that will be outdated within a year. They are called accessories because they come with it (all in one).That truly so unfair and against humanity why are they repeating the same disgusting thing that apple did. I really loved Samsung so much and I don't think they should disappoint their fans just like that.
They say they are considering environment hey really man ! Instead of get it all in one box 📦 
I am buying a phone in a separate box
The charger in another box
The headphones in another as well as the USB and other accessories 
So how can this be considering the environment. 
I just hope Samsung could reconsider their actions and consider humanity",Negative
"I've been a constant fan of only one thing, Galaxy series.
😍
Right form Samsung S3, Designed for Humans.",Positive
"This video pumps me up!! SAMSUNG, the best phone make(among other things) in the world",Positive
For the love of god just fix the thermal throttling,Negative
Wow i wish i have samsung But i have LG does lg users still count,Neutral
what a horrible advertisement,Negative
this particular ad is on so not cringgeeeeee,Negative
"the ""can u send me that"" fancy words...apple has that for like 10 years",Neutral
Apple does better promotional videos than you guys will ever be able to. I’m sorry but for some reason their marketing team is just fire,Positive
Samsung s23 ultra is my dream phone but not Able to get 🥺my dream.,Positive
"Better than every iphone commercial, the music is great too",Positive
So... Nothing new,Neutral
Everything is new inside that what matters design is already cool,Positive
"Probably one of the best smartphone trailers EVER!, the S23 is going to be huge this year!",Positive
The astronaut 🤣,Neutral
Best smart phone commerical in years. 🔥,Positive
200mp is gimmick,Neutral
